      Time   Sample #  Type  Sub Chan  Num	Aux
    5:44.480    86120     /    0    0    0
    5:45.332    86333     /    0    0    0
    5:46.236    86559     /    0    0    0
    5:47.016    86754     /    0    0    0
    5:47.840    86960     /    0    0    0
    5:48.656    87164     /    0    0    0
    5:49.444    87361     /    0    0    0
    5:50.252    87563     /    0    0    0
    5:51.116    87779     /    0    0    0
    5:51.968    87992     /    0    0    0
    5:52.792    88198     /    0    0    0
    5:53.612    88403     /    0    0    0
    5:54.424    88606     /    0    0    0
    5:55.236    88809     /    0    0    0
    5:56.036    89009     /    0    0    0
    5:56.872    89218     /    0    0    0
    5:57.756    89439     /    0    0    0
    5:58.600    89650     /    0    0    0
    5:59.416    89854     /    0    0    0
    6:00.216    90054     /    0    0    0
    6:01.028    90257     /    0    0    0
    6:01.836    90459     /    0    0    0
    6:02.652    90663     /    0    0    0
    6:03.508    90877     /    0    0    0
    6:04.376    91094     /    0    0    0
    6:05.212    91303     /    0    0    0
    6:06.016    91504     /    0    0    0
    6:06.812    91703     /    0    0    0
    6:07.636    91909     /    0    0    0
    6:08.460    92115     /    0    0    0
    6:09.300    92325     /    0    0    0
    6:10.160    92540     /    0    0    0
    6:11.020    92755     /    0    0    0
    6:11.828    92957     /    0    0    0
    6:12.616    93154     /    0    0    0
    6:13.416    93354     /    0    0    0
    6:14.244    93561     /    0    0    0
    6:15.080    93770     /    0    0    0
    6:15.916    93979     /    0    0    0
    6:16.788    94197     /    0    0    0
    6:17.624    94406     /    0    0    0
    6:18.420    94605     /    0    0    0
    6:19.224    94806     /    0    0    0
    6:20.028    95007     /    0    0    0
    6:20.880    95220     /    0    0    0
    6:21.728    95432     /    0    0    0
    6:22.560    95640     /    0    0    0
    6:23.416    95854     /    0    0    0
    6:24.224    96056     /    0    0    0
    6:25.012    96253     /    0    0    0
    6:25.816    96454     /    0    0    0
    6:26.636    96659     /    0    0    0
    6:27.508    96877     /    0    0    0
    6:28.360    97090     /    0    0    0
    6:29.192    97298     /    0    0    0
    6:30.032    97508     /    0    0    0
    6:30.836    97709     /    0    0    0
    6:31.624    97906     /    0    0    0
    6:32.444    98111     /    0    0    0
    6:33.292    98323     /    0    0    0
    6:34.164    98541     /    0    0    0
    6:35.004    98751     /    0    0    0
    6:35.808    98952     /    0    0    0
    6:36.632    99158     /    0    0    0
    6:37.436    99359     /    0    0    0
    6:38.224    99556     /    0    0    0
    6:39.068    99767     /    0    0    0
    6:39.928    99982     /    0    0    0
    6:40.792   100198     /    0    0    0
    6:41.616   100404     /    0    0    0
    6:42.408   100602     /    0    0    0
    6:43.236   100809     /    0    0    0
    6:44.096   101024     /    0    0    0
    6:44.856   101214     /    0    0    0
    6:45.708   101427     /    0    0    0
    6:46.560   101640     /    0    0    0
    6:47.408   101852     /    0    0    0
    6:48.208   102052     /    0    0    0
    6:48.996   102249     /    0    0    0
    6:49.828   102457     /    0    0    0
    6:50.656   102664     /    0    0    0
    6:51.560   102890     /    0    0    0
    6:52.352   103088     /    0    0    0
    6:53.208   103302     /    0    0    0
    6:54.028   103507     /    0    0    0
    6:54.816   103704     /    0    0    0
    6:55.612   103903     /    0    0    0
    6:56.460   104115     /    0    0    0
    6:57.304   104326     /    0    0    0
    6:58.136   104534     /    0    0    0
    6:58.976   104744     /    0    0    0
    6:59.808   104952     /    0    0    0
    7:00.616   105154     /    0    0    0
    7:01.460   105365     /    0    0    0
    7:02.224   105556     /    0    0    0
    7:03.096   105774     /    0    0    0
    7:03.944   105986     /    0    0    0
    7:04.780   106195     /    0    0    0
    7:05.604   106401     /    0    0    0
    7:06.416   106604     /    0    0    0
    7:07.216   106804     /    0    0    0
    7:08.012   107003     /    0    0    0
    7:08.852   107213     /    0    0    0
    7:09.720   107430     /    0    0    0
    7:10.568   107642     /    0    0    0
    7:11.392   107848     /    0    0    0
    7:12.196   108049     /    0    0    0
    7:13.016   108254     /    0    0    0
    7:13.824   108456     /    0    0    0
    7:14.640   108660     /    0    0    0
    7:15.508   108877     /    0    0    0
    7:16.372   109093     /    0    0    0
    7:17.200   109300     /    0    0    0
    7:18.008   109502     /    0    0    0
    7:18.860   109715     /    0    0    0
    7:19.620   109905     /    0    0    0
    7:20.440   110110     /    0    0    0
    7:21.268   110317     /    0    0    0
    7:22.140   110535     /    0    0    0
    7:22.996   110749     /    0    0    0
    7:23.804   110951     /    0    0    0
    7:24.608   111152     /    0    0    0
    7:25.408   111352     /    0    0    0
    7:26.236   111559     /    0    0    0
    7:27.080   111770     /    0    0    0
    7:27.912   111978     /    0    0    0
    7:28.788   112197     /    0    0    0
    7:29.616   112404     /    0    0    0
    7:30.400   112600     /    0    0    0
    7:31.200   112800     /    0    0    0
    7:32.008   113002     /    0    0    0
    7:32.852   113213     /    0    0    0
    7:33.700   113425     /    0    0    0
    7:34.540   113635     /    0    0    0
    7:35.408   113852     /    0    0    0
    7:36.216   114054     /    0    0    0
    7:37.008   114252     /    0    0    0
    7:37.812   114453     /    0    0    0
    7:38.636   114659     /    0    0    0
    7:39.504   114876     /    0    0    0
    7:40.348   115087     /    0    0    0
    7:41.172   115293     /    0    0    0
    7:42.016   115504     /    0    0    0
    7:42.816   115704     /    0    0    0
    7:43.596   115899     /    0    0    0
    7:44.464   116116     /    0    0    0
    7:45.264   116316     /    0    0    0
    7:46.136   116534     /    0    0    0
    7:46.972   116743     /    0    0    0
    7:47.792   116948     /    0    0    0
    7:48.624   117156     /    0    0    0
    7:49.420   117355     /    0    0    0
    7:50.208   117552     /    0    0    0
    7:51.044   117761     /    0    0    0
    7:51.908   117977     /    0    0    0
    7:52.760   118190     /    0    0    0
    7:53.580   118395     /    0    0    0
    7:54.380   118595     /    0    0    0
    7:55.200   118800     /    0    0    0
    7:56.004   119001     /    0    0    0
    7:56.820   119205     /    0    0    0
    7:57.680   119420     /    0    0    0
    7:58.548   119637     /    0    0    0
    7:59.388   119847     /    0    0    0
    8:00.192   120048     /    0    0    0
    8:00.996   120249     /    0    0    0
    8:01.812   120453     /    0    0    0
    8:02.632   120658     /    0    0    0
    8:03.468   120867     /    0    0    0
    8:04.316   121079     /    0    0    0
    8:05.180   121295     /    0    0    0
    8:05.996   121499     /    0    0    0
    8:06.780   121695     /    0    0    0
    8:07.600   121900     /    0    0    0
    8:08.432   122108     /    0    0    0
    8:09.268   122317     /    0    0    0
    8:10.120   122530     /    0    0    0
    8:10.960   122740     /    0    0    0
    8:11.800   122950     /    0    0    0
    8:12.600   123150     /    0    0    0
    8:13.380   123345     /    0    0    0
    8:14.212   123553     /    0    0    0
    8:15.056   123764     /    0    0    0
    8:15.896   123974     /    0    0    0
    8:16.748   124187     /    0    0    0
    8:17.572   124393     /    0    0    0
    8:18.396   124599     /    0    0    0
    8:19.200   124800     /    0    0    0
    8:19.988   124997     /    0    0    0
    8:20.852   125213     /    0    0    0
    8:21.716   125429     /    0    0    0
    8:22.552   125638     /    0    0    0
    8:23.388   125847     /    0    0    0
    8:24.188   126047     /    0    0    0
    8:25.004   126251     /    0    0    0
    8:25.804   126451     /    0    0    0
    8:26.608   126652     /    0    0    0
    8:27.488   126872     /    0    0    0
    8:28.352   127088     /    0    0    0
    8:29.176   127294     /    0    0    0
    8:29.992   127498     /    0    0    0
    8:30.800   127700     /    0    0    0
    8:31.620   127905     /    0    0    0
    8:32.428   128107     /    0    0    0
    8:33.260   128315     /    0    0    0
    8:34.148   128537     /    0    0    0
    8:34.992   128748     /    0    0    0
    8:35.800   128950     /    0    0    0
    8:36.596   129149     /    0    0    0
    8:37.392   129348     /    0    0    0
    8:38.216   129554     /    0    0    0
    8:39.044   129761     /    0    0    0
    8:39.888   129972     /    0    0    0
    8:40.772   130193     /    0    0    0
    8:41.600   130400     /    0    0    0
    8:42.388   130597     /    0    0    0
    8:43.192   130798     /    0    0    0
    8:44.000   131000     /    0    0    0
    8:44.848   131212     /    0    0    0
    8:45.696   131424     /    0    0    0
    8:46.540   131635     /    0    0    0
    8:47.400   131850     /    0    0    0
    8:48.204   132051     /    0    0    0
    8:48.980   132245     /    0    0    0
    8:49.780   132445     /    0    0    0
    8:50.616   132654     /    0    0    0
    8:51.480   132870     /    0    0    0
    8:52.332   133083     /    0    0    0
    8:53.176   133294     /    0    0    0
    8:54.008   133502     /    0    0    0
    8:54.808   133702     /    0    0    0
    8:55.584   133896     /    0    0    0
    8:56.400   134100     /    0    0    0
    8:57.260   134315     /    0    0    0
    8:58.116   134529     /    0    0    0
    8:58.952   134738     /    0    0    0
    8:59.780   134945     /    0    0    0
    9:00.592   135148     /    0    0    0
    9:01.380   135345     /    0    0    0
    9:02.184   135546     /    0    0    0
    9:03.024   135756     /    0    0    0
    9:03.908   135977     /    0    0    0
    9:04.756   136189     /    0    0    0
    9:05.572   136393     /    0    0    0
    9:06.388   136597     /    0    0    0
    9:07.196   136799     /    0    0    0
    9:07.992   136998     /    0    0    0
    9:08.824   137206     /    0    0    0
    9:09.672   137418     /    0    0    0
    9:10.544   137636     /    0    0    0
    9:11.372   137843     /    0    0    0
    9:12.160   138040     /    0    0    0
    9:12.980   138245     /    0    0    0
    9:13.800   138450     /    0    0    0
    9:14.616   138654     /    0    0    0
    9:15.472   138868     /    0    0    0
    9:16.324   139081     /    0    0    0
    9:17.184   139296     /    0    0    0
    9:17.988   139497     /    0    0    0
    9:18.768   139692     /    0    0    0
    9:19.596   139899     /    0    0    0
    9:20.420   140105     /    0    0    0
    9:21.252   140313     /    0    0    0
    9:22.100   140525     /    0    0    0
    9:22.948   140737     /    0    0    0
    9:23.784   140946     /    0    0    0
    9:24.576   141144     /    0    0    0
    9:25.368   141342     /    0    0    0
    9:26.208   141552     /    0    0    0
    9:27.052   141763     /    0    0    0
    9:27.896   141974     /    0    0    0
    9:28.740   142185     /    0    0    0
    9:29.560   142390     /    0    0    0
    9:30.380   142595     /    0    0    0
    9:31.232   142808     /    0    0    0
    9:31.972   142993     /    0    0    0
    9:32.828   143207     /    0    0    0
    9:33.680   143420     /    0    0    0
    9:34.520   143630     /    0    0    0
    9:35.352   143838     /    0    0    0
    9:36.164   144041     /    0    0    0
    9:36.988   144247     /    0    0    0
    9:37.788   144447     /    0    0    0
    9:38.608   144652     /    0    0    0
    9:39.488   144872     /    0    0    0
    9:40.336   145084     /    0    0    0
    9:41.152   145288     /    0    0    0
    9:41.960   145490     /    0    0    0
    9:42.764   145691     /    0    0    0
    9:43.572   145893     /    0    0    0
    9:44.384   146096     /    0    0    0
    9:45.228   146307     /    0    0    0
    9:46.104   146526     /    0    0    0
    9:46.948   146737     /    0    0    0
    9:47.760   146940     /    0    0    0
    9:48.616   147154     /    0    0    0
    9:49.380   147345     /    0    0    0
    9:50.192   147548     /    0    0    0
    9:51.024   147756     /    0    0    0
    9:51.888   147972     /    0    0    0
    9:52.748   148187     /    0    0    0
    9:53.572   148393     /    0    0    0
    9:54.360   148590     /    0    0    0
    9:55.152   148788     /    0    0    0
    9:55.980   148995     /    0    0    0
    9:56.816   149204     /    0    0    0
    9:57.660   149415     /    0    0    0
    9:58.524   149631     /    0    0    0
    9:59.380   149845     /    0    0    0
   10:00.180   150045     /    0    0    0
   10:00.972   150243     /    0    0    0
   10:01.772   150443     /    0    0    0
   10:02.616   150654     /    0    0    0
   10:03.460   150865     /    0    0    0
   10:04.300   151075     /    0    0    0
   10:05.160   151290     /    0    0    0
   10:05.980   151495     /    0    0    0
   10:06.820   151705     /    0    0    0
   10:07.568   151892     /    0    0    0
   10:08.384   152096     /    0    0    0
   10:09.252   152313     /    0    0    0
   10:10.104   152526     /    0    0    0
   10:10.936   152734     /    0    0    0
   10:11.784   152946     /    0    0    0
   10:12.588   153147     /    0    0    0
   10:13.372   153343     /    0    0    0
   10:14.180   153545     /    0    0    0
   10:15.024   153756     /    0    0    0
   10:15.888   153972     /    0    0    0
   10:16.736   154184     /    0    0    0
   10:17.544   154386     /    0    0    0
   10:18.372   154593     /    0    0    0
   10:19.180   154795     /    0    0    0
   10:19.976   154994     /    0    0    0
   10:20.808   155202     /    0    0    0
   10:21.672   155418     /    0    0    0
   10:22.544   155636     /    0    0    0
   10:23.452   155863     /    0    0    0
   10:24.160   156040     /    0    0    0
   10:24.988   156247     /    0    0    0
   10:25.788   156447     /    0    0    0
   10:26.600   156650     /    0    0    0
   10:27.444   156861     /    0    0    0
   10:28.296   157074     /    0    0    0
   10:29.236   157309     /    0    0    0
   10:29.952   157488     /    0    0    0
   10:30.748   157687     /    0    0    0
   10:31.576   157894     /    0    0    0
   10:32.396   158099     /    0    0    0
   10:33.224   158306     /    0    0    0
   10:34.080   158520     /    0    0    0
   10:34.928   158732     /    0    0    0
   10:35.760   158940     /    0    0    0
   10:36.552   159138     /    0    0    0
   10:37.348   159337     /    0    0    0
   10:38.180   159545     /    0    0    0
   10:39.016   159754     /    0    0    0
   10:39.852   159963     /    0    0    0
   10:40.700   160175     /    0    0    0
